language,code,family,true_value,true_upper_limit,sim_upper_limit,lower_limit,mean
Iowä,iowa1245,Other,0,0,0,0,0
Iraya,iray1237,Austronesian,0.88654,0.88654,0.33073,0.00218,0.05110573
Irish,iris1253,Indo-European,0.91829,0.91829,0.45785,0.05791,0.17547752
Isirawa,isir1237,Other,1.13894,1.13894,0.61209,0.06166,0.26273724
Isnag,isna1241,Austronesian,0.88654,0.88654,0.27136,0.00218,0.05210541
Italian,ital1282,Indo-European,0.9183,0.9183,0.51142,0.01625,0.1450466
Itbayat,ivat1242,Austronesian,0.88654,0.88654,0.3895,0.02281,0.10456605000000001
Itneg_(Binongan),bino1237,Austronesian,0,0,0,0,0
Itonama,iton1250,Other,0,0,0,0,0
Iwam,iwam1256,Other,0,0,0,0,0
Iyojwa_ja_Chorote,iyoj1235,Other,0,0.5,0.5,0,0.06784168
Jamaican_Creole,jama1262,Indo-European,0.91829,0.91829,0.48379,0.26019,0.30834479
Japanese,nucl1643,Other,0.9183,0.9183,0.44197,0,0.097870285
Japanese,japa1256,Other,0,0.9183,0.44197,0,0.097870285
Jaru,jaru1254,Pama-Nyungan,0.72193,0.72193,0.66212,0.17636,0.34151224
Javanese,java1254,Austronesian,0.88654,0.88654,0.47218,0.25971,0.30019688
Jicarilla,jica1244,Other,1.08496,1.08496,0.69125,0.06534,0.27195357
Jinghpaw,jing1260,Sino-Tibetan,0,0,0,0,0
Jingulu,djin1251,Other,0,0,0,0,0
Judeo_Tat,jude1256,Indo-European,0.91829,0.91829,0.54085,0.26019,0.31082407
Jurúna,juru1256,Tupian,1.32486,1.32486,1.25343,0.47221,0.8219376
Kadai,kada1286,Austronesian,0,0.25163,0.25163,0,0.02653074
Kadar,kada1242,Dravidian,0,0,0,0,0
Kagulu,kagu1239,Atlantic-Congo,0.81128,0.81128,0.49699,0.13793,0.22514559
Kaiwá,kaiw1246,Tupian,0,0,0,0,0
Kala_Lagaw_Ya,kala1377,Pama-Nyungan,7.3e-4,0.28291,0.28291,7.3e-4,0.04592838
"Kalaallisut_(Eskimo,_Greenland)",kala1399,Other,0,0,0,0,0
Kalam,kala1397,Nuclear Trans New Guinea,1.58219,1.58219,0.89917,0.16682,0.46386044
Kalamang,kara1499,Other,1.58219,1.58219,1.22776,0.65018,0.89963721
Kalinga_(Ahin-Kayapa_Kalanguya),ahin1234,Austronesian,0.88654,0.88654,0.34819,0.02281,0.10535003
Kalkatungu,kalk1246,Pama-Nyungan,1.12581,1.12581,0.63559,0.05705,0.25790365
Kamang,kama1365,Other,0.35096,0.49708,0.49708,0.00313,0.12106067
Kamano,kama1370,Other,0.98523,0.98523,0.98523,0.23777,0.34981696
Kamayurá,kama1373,Tupian,0.9183,0.9183,0.60374,0.34784,0.42354277
Kamba,kamb1297,Atlantic-Congo,0.9183,0.9183,0.57019,0.09958,0.20381583
Kambera,kamb1299,Austronesian,0.94908,0.94908,0.79526,0.2235,0.42591928
Kankanaey_(Kankanai),kank1243,Austronesian,0.88654,0.88654,0.29438,0.02281,0.10612901
Kankanay,nort2877,Austronesian,0,0,0,0,0
Kaonde,kaon1241,Atlantic-Congo,0,0,0,0,0
Kapingamarangi,kapi1249,Austronesian,0,0.23466,0.23466,0,0.014138855
Kapingamarangi,kapi1249a,Austronesian,3.7e-4,0.23466,0.23466,0,0.014138855
Karajarri,kara1476,Pama-Nyungan,1.09614,1.09614,0.60381,0.10544,0.27523211
Karen,kare1337,Sino-Tibetan,0,0,0,0,0
Karen_(Pwo_dialect),pwoo1239,Sino-Tibetan,0,0,0,0,0
Karen_(Sgau_dialect),sgaw1245,Sino-Tibetan,0,0,0,0,0
Karitiana,kari1311,Tupian,0.81128,1.06128,1.06128,0.12256,0.55515054
Kariyarra,kari1304,Pama-Nyungan,0.95048,0.95048,0.92759,0.22077,0.50573706
Karok,karo1304,Other,0,0,0,0,0
Kartujarra,kart1247,Pama-Nyungan,0.98418,0.98418,0.65475,0.06411,0.29257435
Karuwali,karr1236,Pama-Nyungan,0,0,0,0,0
Kashaya,kash1280,Other,0.35876,0.84551,0.84551,0.11716,0.40280371
Kashmiri,kash1277,Indo-European,2.25163,2.25163,1.29847,0.44169,0.8069371
Kaskaskia,algo1255,Algic,0,0.25163,0.25163,0,0.06971215
Kaure,kaur1271,Other,0,0,0,0,0
Kaurna,kaur1267,Pama-Nyungan,1.12193,1.12193,0.70078,0.04748,0.218251
Kaw,kans1243,Other,0,0,0,0,0
Kawaiisu,kawa1283,Uto-Aztecan,0,0,0,0,0
Kayabí,kaya1329,Tupian,0.91829,0.91829,0.5212,0.34352,0.38614298
Kayardild,kaya1318,Other,0,0,0,0,0
Kazakh,kaza1248,Turkic,0,0,0,0,0
KazymKhanty,nort2672,Uralic,0.72193,0.72193,0.72193,0.17095,0.32467342
Kazym_Berezover_Suryskarer_Khanty,khan1273,Uralic,0.91829,0.91829,0.50978,0.26019,0.30675706
Kei,keii1239,Austronesian,0,0,0,0,0
Kemiju_(Jate),keya1238,Other,0.98523,0.98523,0.98523,0.23777,0.34204543
Kemtuik,kemt1242,Other,1.77742,1.77742,1.2221,0.51019,0.81412633
Kerewe,kere1283,Atlantic-Congo,0,0,0,0,0
Ket,kett1243,Other,0.84535,0.84535,0.58228,0.04069,0.15689949
Ketengban,kete1254,Other,0,0,0,0,0
Khalkha-Mongolian,mong1331,Other,0,0,0,0,0
Kickapoo_(Kikapoo),kick1244,Algic,0,0,0,0,0
Kikuyu,kiku1240,Atlantic-Congo,1.9183,1.9183,0.66582,0.11586,0.34270182
Kilivila,kili1267,Austronesian,0,0,0,0,0
Kilmeri,kilm1241,Other,0,0,0,0,0
Kimaama,kima1246,Other,0,0.14446,0.14446,0,0.0231323
Kings_Mill_Islands,gilb1244,Austronesian,0,0,0,0,0
Kiowa_Apache,kiow1264,Other,0,0,0,0,0
Kiput,kipu1237,Austronesian,0.88654,0.88654,0.37736,0.02281,0.10537126
Kiraman,kira1248,Other,0,0,0,0,0
Kiwaian,sout2949,Other,0,0,0,0,0
Kodava,koda1255,Dravidian,1,1,0.96141,0.17379,0.37060012
Kodeoha,kode1237,Austronesian,0,0,0,0,0
Kodi,kodi1247,Austronesian,0,0,0,0,0
Kogi,cogu1240,Other,0,0,0,0,0
Koiari,gras1249,Other,0.19681,0.34482,0.34482,0.03628,0.1088418
Kom,komc1235,Atlantic-Congo,1,1,0.41882,0.01879,0.15206101
Komba,komb1273,Nuclear Trans New Guinea,0.93211,0.93211,0.46188,0.06301,0.19046329
Kombai,komb1274,Other,0,0,0,0,0
Komnzo,komn1238,Other,1.25715,1.25715,0.56291,0.07896,0.27522814
Komo_DRC_,komo1260,Atlantic-Congo,1.58497,1.58497,0.79155,0.21524,0.42711639
Konawe,kona1243,Austronesian,0,0,0,0,0
Konda_(Western_Dani),west2594,Other,0,0,0,0,0
Kootenay,kute1249,Other,0.125,0.5,0.5,0.125,0.287625
Korafe,kora1295,Other,0.93211,0.93211,0.57475,0.06043,0.26894359
Koroni,koro1311,Austronesian,0,0,0,0,0
Korowai,koro1312,Other,0,0,0,0,0
Kota,kota1274,Atlantic-Congo,1.32297,1.34233,1.34233,0.48855,0.83331225
Koya,koya1251,Dravidian,1.57262,1.57262,1.14338,0.32848,0.64154227
Kriol_Roper_River,krio1252,Indo-European,0.00249,0.06063,0.06063,0.00249,0.018129660000000002
Kristang_(Malacca_Creole_Portugese),mala1533,Indo-European,0.88654,0.88654,0.52497,0.06722,0.18885286
Ku_Waru,boun1245,Nuclear Trans New Guinea,0,0,0,0,0
Kuanua,kuan1248,Austronesian,1.07047,1.07047,0.61968,0.10104,0.25682439
Kui,kuii1252,Dravidian,1.24644,1.24644,0.99123000000000006,0.26661,0.58614163
Kukatja,kuka1246,Pama-Nyungan,0.25163,0.44803,0.44803,0.11764,0.22909694
Kuku-Yalanji,kuku1273,Pama-Nyungan,0.90933,0.90933,0.49064,0.11618,0.24491503
Kulisusu,kuli1254,Austronesian,0.88654,0.88654,0.28847,0.01691,0.06460516
Kuman,kuma1280,Other,0,0,0,0,0
Kumaoni,kuma1273,Indo-European,0,0,0,0,0
Kumyk,kumy1244,Turkic,0.9183,0.9183,0.54815,0.10917,0.19479854
Kung,juho1239,Other,0,0,0,0,0
Kunimaipa,kuni1267,Other,0,0,0,0,0
Kunjen,kunj1248,Pama-Nyungan,1.03624,1.36957,1.36957,0.64626,0.80915962
Kunza,kunz1244,Other,0,0,0,0,0
Kuot,kuot1243,Other,1.20899,1.20899,0.91852,0.04037,0.42798505
Kurukh,kuru1302,Dravidian,0,0,0,0,0
Kusaien,kosr1238,Austronesian,0,0,0,0,0
Kuuku_Ya'u,kuuk1238,Pama-Nyungan,1.01947,1.01947,0.83213,0.10934,0.34338111
Kuvi,kuvi1243,Dravidian,0.5134,1.05885,1.05885,0.11926,0.42922835
Kwaio,kwai1243,Austronesian,0,0,0,0,0
Kwamera,kwam1252,Austronesian,0.70659,0.70659,0.53247,0.07698,0.19874842
Kwasio,kwas1243,Atlantic-Congo,0.88654,0.88654,0.44939,0.1104,0.19163823
Kwere,kwer1261,Atlantic-Congo,0.96124,0.96124,0.70232000000000006,0.22658,0.33059313
Kwoma,kwom1262,Other,1.36537,1.36537,1.15863,0.45688,0.76457136
Kyaka,kyak1244,Nuclear Trans New Guinea,0.5615,0.5615,0.37634,0.06706,0.14742163
"Kǔtchin,_or_Louchieux",gwic1235,Other,0,0.25163,0.25163,0,0.10971405999999999
Laguna,west2632,Other,0,0,0,0,0
Lahnda,lahn1241,Indo-European,1.92193,1.92193,0.91427,0.14546,0.42371946
Laiwui,laiw1239,Austronesian,0,0,0,0,0
Lala_Bisa,lala1264,Atlantic-Congo,0,0,0,0,0
Lalomerui,lalo1239,Austronesian,0,0,0,0,0
Lamba,lamb1271,Atlantic-Congo,1.17095,1.17095,0.61433,0.03645,0.25404004
Lamogai,lamo1244,Austronesian,0,0,0,0,0
Landewe,land1259,Austronesian,0,0,0,0,0
Langi,lang1320,Atlantic-Congo,1.05885,1.05885,0.64125,0.34849,0.41630745
Lardil,lard1243,Other,1.25716,1.25716,0.58919,0.0976,0.26431755
Larevat,lare1249,Austronesian,1.53012,1.53012,1.04465,0.21399,0.59742074
Latin,lati1261,Indo-European,0.88654,2.22987,0.85372,0.16233,0.423026835
Latin,lati1261a,Indo-European,2.22987,2.22987,0.85372,0.16233,0.423026835
Latvian,latv1249,Indo-European,0.9183,0.9183,0.69785,0.20711,0.36966683
Lau,lauu1247,Austronesian,0,0,0,0,0
Lau_Fijian,laua1243,Austronesian,1.27205,1.27205,0.97535,0.28765,0.59489719
Lauje,lauj1238,Austronesian,0.88654,0.88654,0.41334,0.02281,0.10530594
Lavatbura-lamusong_(Konobin),lava1239,Austronesian,0,0,0,0,0
Lebanese_Arabic,stan1323,Afro-Asiatic,1.58219,1.58219,0.84762,0.17117,0.46485202
Lelepa,lele1267,Austronesian,0.00313,0.41047,0.41047,0.00313,0.08459936
Lenakel,lena1238,Austronesian,0,0,0,0,0
Lengua,leng1262,Other,0,0,0,0,0
Letemboi-Repanbitip,lete1241,Austronesian,0,0,0,0,0
Lewo,lewo1242,Austronesian,0,0,0,0,0
Limilngan,limi1242,Other,0.7642,0.7642,0.7642,0.02747,0.33295441
Lingala,ling1263,Atlantic-Congo,0.9183,0.9183,0.51481,0.19138,0.30483059
Lipan_Apache,lipa1241,Other,0.58497,0.58497,0.44857,0.02559,0.14575692
Lisu,lisu1250a,Sino-Tibetan,0,0.25163,0.25163,0,0.10770107
Lisu,lisu1250b,Sino-Tibetan,0,0.25163,0.25163,0,0.10770107
Lisu,lisu1250c,Sino-Tibetan,0,0.25163,0.25163,0,0.10770107
Lisu,lisu1250d,Sino-Tibetan,0,0.25163,0.25163,0,0.10770107
Lithuanian,lith1251,Indo-European,1.02206,1.02206,0.5195,0.02346,0.20178112
Lo-Toga_(Loh),loto1240,Austronesian,0.10078,0.34259,0.34259,0.00517,0.0930222
Loloda-Laba_(Loda),lolo1264,Other,0.12582,0.25163,0.25163,0,0.11160138
Loniu,loni1238,Austronesian,0.01012,0.49261,0.49261,0,0.11090762
Lonwolwol,lonw1238,Austronesian,0,0,0,0,0
Lower_Pima_Pima_Bajo,pima1248,Uto-Aztecan,0,0,0,0,0
Lozi,lozi1239,Atlantic-Congo,0.21692,0.66857,0.66857,0.12464,0.23428293
Luangiua_(Ontong_Java),onto1237,Austronesian,3.7e-4,0.22904,0.22904,3.7e-4,0.02869374
Luba_Katanga,luba1250,Atlantic-Congo,0,0,0,0,0
Luba_Lulua,luba1249,Atlantic-Congo,0.68872,0.68872,0.37419,0.00764,0.1041724
Lubuagan_Kalinga,lubu1243,Austronesian,0,0,0,0,0
Luburua_(Kara),lubu1242,Austronesian,0.94566,0.94566,0.94566,0.00343,0.23572685
Luguru,lugu1238,Atlantic-Congo,1.72193,1.72193,0.94702,0.25982,0.56202227
Luiseńo,luis1253,Uto-Aztecan,1.82193,1.82193,1.13104,0.48298,0.70959517
Lunda,lund1266,Atlantic-Congo,1.5,1.5,0.92801,0.18373,0.46866426
Luvale,luva1239,Atlantic-Congo,1,1,0.57057,0.12884,0.20039542
Luxembourgish,luxe1241,Indo-European,0.9183,0.9183,0.31669,0.01393,0.1019499
Ma'anyan,maan1238,Austronesian,0.88654,0.88654,0.3895,0.02281,0.10550662
Maba_(Indonesia),maba1278,Austronesian,0.86625,0.86625,0.57863,0.10789,0.25043659
Maca,maca1260,Other,0,0,0,0,0
Macedonian,mace1250,Indo-European,0.9183,0.9183,0.66293,0.18117,0.31657187
Macushi,macu1259,Cariban,0.84535,0.84535,0.41131,0.20718,0.25175173
Madak_(Konnos),mada1284,Austronesian,0.98819,0.98819,0.85543,0.03174,0.3013369
Madole,modo1249,Other,0.62925,0.62925,0.43839,0.02772,0.12966287
Madurese,nucl1460,Austronesian,0.88654,0.88654,0.39595,0.0648,0.14518922
Mafea_(Mavea),mafe1237,Austronesian,0.96331,0.96331,0.57043,0.05178,0.23109568
Magam,maga1262,Austronesian,0,0,0,0,0
Maguindanao_(Magindonao_Moro),magu1243,Austronesian,0.79186,0.79186,0.55706,0.07467,0.14906348
Mahasu_Pahari,maha1287,Indo-European,0,0,0,0,0
Mairasi,nucl1594,Other,7.3e-4,0.34992,0.34992,7.3e-4,0.04541787
Maithili,mait1250,Indo-European,2.25163,2.25163,1.34565,0.58449,0.93251273
Maklew,makl1246,Other,0,0,0,0,0
Makonde,mako1251,Atlantic-Congo,0.31669,0.31669,0.31669,0.00726,0.05126604
Mala,mala1294,Other,0,0,0,0,0
Malapandaram,mala1468,Dravidian,1.25163,1.25163,0.90649,0.16667,0.48092135
Malayalam,mala1464,Dravidian,0,0,0,0,0
Malgana,malg1242,Pama-Nyungan,0,0,0,0,0
Malgana,malg1242a,Pama-Nyungan,0,0,0,0,0
Mali,mali1284,Other,0,0,0,0,0
Malua_Bay,malu1245,Austronesian,1.53012,1.53012,1.10906,0.31285,0.53482433
Manam,mana1295,Austronesian,0,0,0,0,0
Manange,mana1288,Sino-Tibetan,0.87398,0.88605,0.88605,0.11109,0.4294793
Mandan,mand1446,Other,0,0,0,0,0
Mangaia,mang1402,Austronesian,0,0,0,0,0
Mangarevans,mang1401,Austronesian,0.65564,0.89054,0.89054,0.2475,0.48227699
Mangei_(Sobjo),mang1407,Austronesian,0.98523,0.98523,0.78478,0.04812,0.26954868
Manggarai,mang1405,Austronesian,0,0,0,0,0
Mansi,mans1258,Uralic,0.91829,0.91829,0.48379,0.26019,0.30626876
Maori,maor1246,Austronesian,0.00547,0.44322,0.44322,0.00547,0.09385214
Mapudungun,mapu1245,Other,0.91829,0.91829,0.43709,0.05791,0.17887530000000001
Maragus_(Tape),mara1399,Austronesian,0,0,0,0,0
Maranao_(Lanao_Moro),mara1404,Austronesian,0.88654,0.88654,0.42609,0.02281,0.10427193
Marathi,mara1378,Indo-European,2.25163,2.25163,1.29383,0.59625,0.93594725
Margany,marg1253,Pama-Nyungan,0,0,0,0,0
Mari,east2328,Uralic,0,0,0,0,0
Marind,nucl1622,Other,0.80083,0.80083,0.54407,0.1395,0.30434507
Marquesas,marq1246,Austronesian,0,0,0,0,0
Marra,mara1385,Other,0,0,0,0,0
Marshallese,mars1254,Austronesian,0,0,0,0,0
MartuWangka,mart1256,Pama-Nyungan,1.19975,1.19975,0.70262,0.07879,0.30341288
Marwari_India_,marw1260,Indo-European,2.05881,2.05881,1.41886,0.60568,0.92959631
Masaaba,masa1299,Atlantic-Congo,1.40564,1.40564,1.28921,0.2404,0.72788477
Mashco_Piro,mash1270,Arawakan,0,0,0,0,0
Maskelynes,mask1242,Austronesian,0.54198,0.61115,0.61115,0.00955,0.13074629000000001
Mattole,matt1238,Other,0,0,0,0,0
Matukar,matu1261,Austronesian,0.88654,0.88654,0.3038,0.0648,0.14428816
Maybrat,maib1239,Other,0.93211,0.93211,0.51612,0.02927,0.20908109
Mayo,mayo1264,Uto-Aztecan,0,0,0,0,0
Mbala,mbal1257,Atlantic-Congo,0.5615,0.5615,0.34911,0.11309,0.19852484
Mbere,mber1257,Atlantic-Congo,0.72548,0.9943,0.9943,0.1271,0.40296131
Mblafe,mbla1238,Other,0,0,0,0,0
Mbuun,mpuo1241,Atlantic-Congo,0.91829,0.91829,0.41786,0.05791,0.17650158
Mbyá_Guaraní,mbya1239,Tupian,0,0,0,0,0
MeadowMari,gras1239,Uralic,0,0,0,0,0
Mekeo,meke1243,Austronesian,0,0,0,0,0
Mekongga,meko1237,Austronesian,0,0,0,0,0
Mele-Fila_(Ifira-Mele),mele1250,Austronesian,0.88654,0.88654,0.47407,0.04576,0.1474971
Menomine,meno1252,Algic,0,0,0,0,0
Menui,menu1237,Austronesian,0,0,0,0,0
Meriam,meri1244,Other,0.46606,0.46606,0.31411,6.3e-4,0.06306312
Merlav,merl1237,Austronesian,0.48062,0.48062,0.4126,0.04527,0.11304151
Meru,meru1245,Atlantic-Congo,2.25163,2.25163,1.79558,1.20949,1.47062603
Meta,meta1238,Atlantic-Congo,0,0,0,0,0
Meyah,meya1236,Other,0,0,0,0,0
Miami,miam1252,Algic,0,0,0,0,0
Miani,mian1254,Other,0,0,0,0,0
Middle_English,midd1317,Indo-European,0.91829,0.91829,0.54344,0,0.15917166
Middle_High_German,midd1343,Indo-European,1.8366,1.8366,0.91915,0.08431,0.36942223
Midob,mido1240,Other,2,2,1.17923,0.37378,0.77398584
Miemac,mikm1235,Algic,0.06291,0.25163,0.25163,0.06291,0.14286783
Minangkabau,mina1268,Austronesian,0,0,0,0,0
Miningir_(Lunga),mini1251,Austronesian,0.88654,0.88654,0.45583,0.0648,0.14591922
Minnitaree,hida1246,Other,0.12582,0.25163,0.25163,0.12582,0.17847385000000002
Mocoví,moco1246,Other,0.31669,0.31669,0.31669,0.05144,0.09721955
Modern_Greek,mode1248,Indo-European,0.9183,0.9183,0.50188,0.01625,0.14483421
Modern_Welsh,wels1247,Indo-European,0.9183,0.9183,0.46198,0.01625,0.14548043
Mohawk,moha1258,Other,0,0,0,0,0
Mohegan,mohe1244,Algic,0,0,0,0,0
Mokpwe,mokp1239,Atlantic-Congo,0.9183,0.9183,0.60708,0.03077,0.20236626
MokshaMordvin,moks1248,Uralic,0,0,0,0,0
Momu-Fas,fass1245,Other,0.93661,0.93661,0.44194,0.00862,0.1493906
Mongo,mong1338,Atlantic-Congo,0.88443,0.88443,0.6297,0.20027,0.36829855
Moni,moni1261,Other,0,0,0,0,0
Mono,mono1275,Uto-Aztecan,0,0,0,0,0
Mono-Alu,mono1273,Austronesian,0,0,0,0,0
Monumbo,nucl1458,Other,0,0,0,0,0
Mori_Atas,mori1269,Austronesian,0,0,0,0,0
Mori_Bawah,mori1268,Austronesian,0.88654,0.88654,0.3895,0.02281,0.10585743
Moronene,moro1287,Austronesian,0.88654,0.88654,0.38364,0.01691,0.0648057
Mortlockese,mort1237,Austronesian,0.88654,0.88654,0.57581,0.02991,0.15534949
Mosetén_Chimané,mose1249,Other,0,0,0,0,0
Mota,mota1237,Austronesian,1.53012,1.53012,0.87049,0.15103,0.39095061
Motu,motu1246,Austronesian,0,0,0,0,0
Mouk,mouk1240,Austronesian,0.64234,0.66581,0.66581,0.03563,0.21440944
Movima,movi1243,Other,0,0,0,0,0
Mudburra,mudb1240,Pama-Nyungan,1,1,0.51017,0.09314,0.22173931
Muduapa_(Vitu),mudu1242,Austronesian,0.4984,0.4984,0.43699,0.00658,0.09828267
Muisca_Chibcha_,chib1270,Other,0,0,0,0,0
Muna,muna1247,Austronesian,0.88654,0.88654,0.37736,0.02281,0.10465504
Mundurukú,mund1330,Tupian,1.0538,1.43457,1.43457,0.56038,0.94049805
Mungaka,mung1266,Atlantic-Congo,0,0,0,0,0
Munggava_(Rennell),mung1271,Austronesian,0.99679,0.99679,0.76,0.06167,0.30216241
Mungiki_(Bellona),mung1270,Austronesian,0,0,0,0,0
Munsee,muns1251,Algic,0,0,0,0,0
Murrinhpatha,murr1258,Other,0.93211,0.93211,0.42152,0.00549,0.09641017
Muruwari,muru1266,Pama-Nyungan,1.09307,1.09307,0.96772,0.11506,0.41219715
Mussau-Emira,muss1246,Austronesian,0,0,0,0,0
Mwotlap,motl1237,Austronesian,7.3e-4,0.27962,0.27962,7.3e-4,0.04635917
Myene,myen1241,Atlantic-Congo,1.51655,1.51655,1.02734,0.40849,0.66916628
Nafsan,sout2856,Austronesian,0,0,0,0,0
Nage,nage1237,Austronesian,0,0,0,0,0
Nagovisi,sibe1248,Other,0,0,0,0,0
Nahavaq,sout2857,Austronesian,0,0,0,0,0
Nakanai,naka1262,Austronesian,0.00193,0.39082,0.39082,0.00193,0.06792117
Nalik_(Lukuramau),nali1244,Austronesian,0.96796,0.96796,0.71303,0.02507,0.21143192
Nalik_(Madina),nali1244b,Austronesian,0.88446,0.88446,0.58191,0.00397,0.17073524
Nama,nama1266,Other,0.84303,0.86487,0.86487,0.16899,0.42235615
Namakura,nama1268,Austronesian,0.23646,0.469,0.469,0,0.075625155
Namakura,nama1268b,Austronesian,0,0.469,0.469,0,0.075625155
Naman,litz1237,Austronesian,1.53012,1.53012,1.10496,0.19216,0.59720636
Nambo,namb1293,Other,0,0,0,0,0
Nanggu,nang1262,Austronesian,0.49261,0.49261,0.49261,0.06404,0.24646818
Nasioi,naas1242,Other,0,0,0,0,0
Navajo,nava1243,Other,1.15956,1.15956,1.02626,0.39321,0.56101704
Negerhollands,nege1244,Indo-European,0,0,0,0,0
Negwa_(Yagwoia),yagw1240,Other,0,0,0,0,0
Nehan,neha1247,Austronesian,0.99679,0.99679,0.62676,4.9e-4,0.25812363
Neme,neme1244,Other,0,0,0,0,0
Nen,nenn1238,Other,0,0,0,0,0
Nen,nenn1238a,Other,0,0,0,0,0
Nengone,neng1238,Austronesian,0.14585,0.49487,0.49487,0.04455,0.15567873
Nepali,nepa1254,Indo-European,1.0958,1.0958,1.0958,0.25356,0.48613957
Nese,nese1235,Austronesian,0.7642,0.7642,0.7642,0.02747,0.21424736
Netsilik,nets1241,Other,0.43449,0.84943,0.84943,0.16968,0.36884965
Neve'ei,vinm1237,Austronesian,1.49201,1.49201,1.01307,0.16969,0.5265023
Neverver,ling1265,Austronesian,1.10308,1.10308,0.91909,0.34946,0.53329609
Ngaanyatjarra,ngaa1240,Pama-Nyungan,1,1,0.6037,0.09314,0.29215962
Ngadjumaya,ngad1258,Pama-Nyungan,0,0,0,0,0
Nganasan,ngan1291,Uralic,0,0,0,0,0
Ngarinyman,ngar1235,Pama-Nyungan,1,1,0.6391,0.09314,0.22357615
Ngarla,ngar1286,Pama-Nyungan,0,0,0,0,0
Ngarluma,ngar1287,Pama-Nyungan,0,0,0,0,0
Ngarrindjeri,narr1259,Pama-Nyungan,0.41997,0.72193,0.72193,0.1058,0.23957128
Ngiyambaa,wang1291,Pama-Nyungan,0.9183,0.9183,0.47503,0.10917,0.19603649
Ngoni,ngon1269,Atlantic-Congo,0,0,0,0,0
Ngulu,ngul1246,Atlantic-Congo,0.19716,0.62638,0.62638,0.02025,0.20340044
Nguna,ngun1274,Austronesian,1.40352,1.40352,0.75322,0.03102,0.32297917
Nhanta,nhan1238,Pama-Nyungan,1.52193,1.52193,0.69321,0.0845,0.29582284
Nimboran,nucl1633,Other,0.75498,0.75498,0.60179,0.05093,0.2624269
Ninam,nina1238,Other,0.13983,0.19753,0.19753,0.00215,0.07104567
Niuafo'ou,niua1240,Austronesian,0,0,0,0,0
Niueans,niue1239,Austronesian,0,0.19076,0.19076,0,0.040817730000000003
Nivacle,niva1238,Other,0.62925,0.62925,0.36973,0.04744,0.09668892
Njebi,njeb1242,Atlantic-Congo,0.72193,0.72193,0.72193,0.17095,0.46517332
Nogai,noga1249,Turkic,0.9183,0.9183,0.47445,0.17686,0.25455764
NorthMuyu,nort2916,Other,0,0,0,0,0
North_Ambrym,nort2839,Austronesian,1.05885,1.05885,0.87341,0.13773,0.39477753
North_Azerbaijani,nort2697,Turkic,0.91829,0.91829,0.51776,0.26019,0.30743388
"North_Efate_(Nguna,_Nakanamanga)",nort2836,Austronesian,0,0,0,0,0
North_Marquesan,nort2845,Austronesian,0.17208,0.90088,0.90088,0.11103,0.35360064
North_Northern_Paiute,nort1551,Uto-Aztecan,0,0,0,0,0
North_Tanna,nort2847,Austronesian,0.94566,0.94566,0.7574,0.00108,0.18858833
Northeastern_Maidu,nort2952,Other,1.12581,1.12581,0.66332,0.1568,0.31937331
Northern_Embera,nort2972,Other,0.9183,0.9183,0.44613,0.10917,0.19768325
Northern_Gondi,nort2702,Dravidian,0,0,0,0,0
Northern_Haida,nort2938,Other,0,0,0,0,0
Northern_Kurdish,nort2641,Indo-European,2.25163,2.25163,1.2675,0.44169,0.8034874399999999
Northern_Ojibwa,nort2961,Algic,1.09307,1.14791,1.14791,0.40666,0.71927476
Northern_Paiute,nort2954,Uto-Aztecan,0,0,0,0,0
Northern_Pomo,nort2966,Other,1.49491,1.49491,1.36969,0.59608,0.8843230400000001
Northern_Sami,nort2671,Uralic,2.58497,2.58497,1.33385,0.68899,0.97561247
Northern_Tepehuan,nort2959,Uto-Aztecan,0,0,0,0,0
Northwestern_Maidu,nort2951,Other,1.23639,1.23639,0.97505,0.13291,0.45952131
Norwegian_Bokmål,norw1259,Indo-European,0.9183,0.9183,0.56581,0.01625,0.14536862
Nsong,song1299,Atlantic-Congo,0.9183,0.9183,0.35035,0.01625,0.1389478
Numbami,numb1247,Austronesian,1.02165,1.02165,0.9859,0.37101,0.61487823
Nunamiut,nort2944,Other,0.9183,0.9183,0.61937,0.06271,0.1906313
Nungon,yaum1237,Other,0,0,0,0,0
Nuu_Chah_Nulth,nuuc1236,Other,0,0,0,0,0
Nyakyusa,nyak1260,Atlantic-Congo,1.85856,1.85856,1.69902,0.53041,0.98284963
Nyamal,nyam1271,Pama-Nyungan,0.99679,0.99679,0.80841,0.13469,0.29877591
Nyangumarta,nyan1301,Pama-Nyungan,1,1,0.51816,0.09314,0.22471097
Nyawaygi,nyaw1247,Pama-Nyungan,0,0,0,0,0
Nyoro,nyor1246,Atlantic-Congo,2.27784,2.27784,1.20613,0.49384,0.80442956
Nyulnyul,nyul1247,Other,0.79186,0.79186,0.37267,0.05088,0.1334756
O_du,oduu1239,Austroasiatic,0,0.2651,0.2651,0,0.12251675000000001
Ojibwa_Kansas,ojib1241,Algic,0,0.25163,0.25163,0,0.06811325
Ojibwa_Lake_Michigan,uppe1274,Algic,0.06291,0.25163,0.25163,0.05459,0.10396367999999999
Okinaken,okan1243,Salishan,0,0,0,0,0
Olal,olal1237,Austronesian,1.34646,1.34646,0.84365,0.06765,0.32540305
Old_Aramaic,olda1245,Afro-Asiatic,1,1,0.44053,0.04119,0.2354152
Old_Church_Slavonic,chur1257,Indo-European,0,0,0,0,0
