simulation_number,mutual_information,entropy,conditional_entropy,meZ,feZ,mB,mZ,mFZD,mFBD,mMBD,mMZD,mFBS,mFZS,mMBS,mFeBS,mFyBS,mFeZS,mFyZS,mFeBD,mFyBD,mFeZD,mFyZD,mMeBS,mMyBS,mMeBD,mMyBD,mMeZD,mMyZD,mFBeS,mFByS,mFZeS,mFZyS,mFBeD,mFByD,mFZeD,mFZyD,mMBeS,mMByS,mMBeD,mMByD,mMZeD,mMZyD,fB,fZ,fFZD,fFBD,fMBD,fMZD,fFBS,fFZS,fMBS,fFeBS,fFyBS,fFeZS,fFyZS,fFeBD,fFeZD,fFyZD,fMeBS,fMyBS,fMeBD,fMyBD,fMeZD,fMyZD,fFBeS,fFByS,fFZeS,fFZyS,fFBeD,fFByD,fFZeD,fFZyD,fMBeS,fMByS,fMBeD,fMByD,fMZeD,fMZyD,meB,myZ,feB,fyZ,mMZS,mMeZS,mMyZS,mMZeS,mMZyS,fMZS,fMeZS,fMyZS,fMZyS,myB,fyB,mF,mM,mFB,mFZ,mFyB,mFeB,mFeZ,mFyZ,fF,fM,fFB,fFZ,fFyB,fFeB,fFeZ,fFyZ,mMB,mMZ,mMeZ,mMyZ,mMeB,mMyB,fMB,fMZ,fMeZ,fMyZ,fMeB,fMyB
537,0.48164520446192594,1.7859165370228114,1.3042713325608855,cacera bhai,mɔsera bhai,mameri bahan,mamera bhai,phuphera bhai,choṭā bhāī,mameri bahan,phupheri bahan,caceri bahan,phupheri bahan,mamera bhai,choṭā bhāī,cacera bhai,cacera bhai,cacera bhai,caceri bahan,baṛa bhai,baṛa bhai,caceri bahan,dīdī,mamera bhai,phupheri bahan,mɔsera bhai,phupheri bahan,cacera bhai,mɔseri bahan,phuphera bhai,phuphera bhai,mɔseri bahan,bahan,cacera bhai,mameri bahan,cacera bhai,mameri bahan,phupheri bahan,phuphera bhai,bhāī,mameri bahan,mameri bahan,mɔseri bahan,mɔsera bhai,phupheri bahan,choṭī bhan,mamera bhai,cacera bhai,phupheri bahan,dīdī,mɔseri bahan,mɔseri bahan,caceri bahan,mɔseri bahan,mamera bhai,choṭī bhan,mamera bhai,caceri bahan,mamera bhai,mɔseri bahan,phuphera bhai,mɔsera bhai,mameri bahan,phupheri bahan,mɔsera bhai,caceri bahan,caceri bahan,caceri bahan,cacera bhai,mamera bhai,mɔseri bahan,phuphera bhai,mamera bhai,bhāī,mɔsera bhai,mameri bahan,mamera bhai,mɔsera bhai,mɔsera bhai,phuphera bhai,mɔsera bhai,phuphera bhai,cacera bhai,bahan,phupheri bahan,mɔseri bahan,phuphera bhai,phupheri bahan,mameri bahan,mameri bahan,caceri bahan,phuphera bhai,mɔseri bahan,māmā,mausī,tāū,buā,mausī,bāp,bāp,cācā,mātā,cācā,māmā,buā,buā,māmā,māmā,mausī,māmā,tāū,buā,mausī,tāū,mausī,māmā,mausī,buā,mātā,tāū,buā
538,0.6109516918899491,1.8333870513240778,1.2224353594341286,bahan,phupheri bahan,mɔsera bhai,mɔsera bhai,caceri bahan,choṭī bhan,mɔsera bhai,mameri bahan,mamera bhai,mamera bhai,mameri bahan,caceri bahan,phupheri bahan,caceri bahan,phuphera bhai,mɔseri bahan,mɔsera bhai,mɔsera bhai,cacera bhai,phupheri bahan,bahan,cacera bhai,mameri bahan,baṛa bhai,mamera bhai,mɔseri bahan,mɔseri bahan,dīdī,mɔseri bahan,mameri bahan,cacera bhai,phuphera bhai,caceri bahan,phupheri bahan,phupheri bahan,mamera bhai,baṛa bhai,cacera bhai,phupheri bahan,mamera bhai,phuphera bhai,choṭī bhan,cacera bhai,choṭā bhāī,mɔsera bhai,phuphera bhai,mameri bahan,mɔseri bahan,caceri bahan,caceri bahan,phuphera bhai,mɔseri bahan,mameri bahan,cacera bhai,phuphera bhai,mamera bhai,dīdī,phupheri bahan,phuphera bhai,mɔsera bhai,cacera bhai,caceri bahan,phuphera bhai,cacera bhai,mamera bhai,phuphera bhai,cacera bhai,mameri bahan,bhāī,phuphera bhai,mɔsera bhai,phupheri bahan,mameri bahan,choṭā bhāī,mamera bhai,mɔseri bahan,mɔseri bahan,mɔseri bahan,caceri bahan,mameri bahan,mɔsera bhai,bhāī,phupheri bahan,mɔseri bahan,caceri bahan,mameri bahan,phupheri bahan,cacera bhai,mamera bhai,mamera bhai,māmā,māmā,buā,mausī,buā,cācā,mausī,tāū,buā,mausī,mātā,buā,māmā,tāū,mātā,māmā,cācā,buā,bāp,mausī,tāū,tāū,bāp,mausī,māmā,buā,mausī,māmā
539,0.34935381424341205,1.8100903126054853,1.4607364983620732,phuphera bhai,mameri bahan,mameri bahan,caceri bahan,mɔseri bahan,choṭī bhan,mɔsera bhai,phuphera bhai,mamera bhai,choṭī bhan,cacera bhai,mameri bahan,phuphera bhai,mameri bahan,caceri bahan,phupheri bahan,mameri bahan,cacera bhai,phuphera bhai,phupheri bahan,mɔseri bahan,choṭā bhāī,mɔseri bahan,phupheri bahan,mɔseri bahan,caceri bahan,mɔseri bahan,mɔseri bahan,caceri bahan,cacera bhai,choṭā bhāī,caceri bahan,bahan,mɔsera bhai,caceri bahan,mamera bhai,mamera bhai,mamera bhai,dīdī,phuphera bhai,mɔsera bhai,phupheri bahan,mamera bhai,dīdī,phuphera bhai,cacera bhai,mamera bhai,cacera bhai,mamera bhai,mɔseri bahan,mɔseri bahan,phupheri bahan,mameri bahan,mameri bahan,cacera bhai,bahan,mɔseri bahan,mamera bhai,cacera bhai,cacera bhai,phupheri bahan,phupheri bahan,phuphera bhai,cacera bhai,cacera bhai,caceri bahan,baṛa bhai,mameri bahan,mameri bahan,phupheri bahan,phuphera bhai,mɔsera bhai,mamera bhai,bhāī,phuphera bhai,phupheri bahan,mɔsera bhai,mɔsera bhai,bhāī,mɔsera bhai,mɔsera bhai,mameri bahan,caceri bahan,caceri bahan,baṛa bhai,mɔsera bhai,phupheri bahan,mɔseri bahan,mamera bhai,phuphera bhai,mātā,mausī,mausī,buā,buā,mātā,cācā,mausī,mausī,buā,tāū,buā,tāū,bāp,māmā,buā,māmā,māmā,cācā,tāū,tāū,māmā,bāp,māmā,mausī,mausī,māmā,buā
540,0.4078330498814675,1.7338144693906146,1.325981419509147,mamera bhai,mamera bhai,dīdī,phuphera bhai,mɔseri bahan,bahan,mameri bahan,caceri bahan,mamera bhai,caceri bahan,mɔsera bhai,cacera bhai,mameri bahan,mɔseri bahan,phuphera bhai,caceri bahan,mamera bhai,bhāī,caceri bahan,caceri bahan,phupheri bahan,phuphera bhai,cacera bhai,mamera bhai,mamera bhai,phuphera bhai,mameri bahan,phupheri bahan,caceri bahan,mameri bahan,mɔsera bhai,phupheri bahan,mameri bahan,bahan,cacera bhai,phupheri bahan,baṛa bhai,mɔseri bahan,caceri bahan,phupheri bahan,caceri bahan,choṭā bhāī,mamera bhai,mɔsera bhai,mamera bhai,cacera bhai,phuphera bhai,cacera bhai,cacera bhai,mɔseri bahan,mameri bahan,cacera bhai,bhāī,mɔseri bahan,phuphera bhai,choṭī bhan,mɔsera bhai,mamera bhai,mɔsera bhai,mameri bahan,phupheri bahan,mɔseri bahan,mɔsera bhai,mɔseri bahan,mameri bahan,mɔsera bhai,phuphera bhai,mɔsera bhai,phupheri bahan,caceri bahan,phupheri bahan,phuphera bhai,baṛa bhai,choṭī bhan,mamera bhai,choṭā bhāī,phuphera bhai,cacera bhai,phupheri bahan,cacera bhai,dīdī,phupheri bahan,mɔseri bahan,mɔseri bahan,mɔseri bahan,phuphera bhai,mameri bahan,mameri bahan,mɔsera bhai,cacera bhai,buā,māmā,māmā,mausī,mātā,cācā,māmā,tāū,buā,māmā,buā,tāū,mātā,mausī,mausī,cācā,māmā,tāū,bāp,buā,buā,tāū,mausī,māmā,buā,bāp,mausī,mausī
541,0.4151029428639461,1.776591773669967,1.361488830806021,cacera bhai,caceri bahan,bhāī,phupheri bahan,phupheri bahan,mɔsera bhai,phuphera bhai,mamera bhai,choṭī bhan,phupheri bahan,mamera bhai,cacera bhai,mamera bhai,bahan,mɔsera bhai,mameri bahan,mamera bhai,mɔseri bahan,mɔsera bhai,phupheri bahan,phuphera bhai,cacera bhai,bahan,mɔseri bahan,mameri bahan,mameri bahan,mamera bhai,caceri bahan,mɔsera bhai,dīdī,mɔseri bahan,mɔsera bhai,mameri bahan,mɔsera bhai,caceri bahan,cacera bhai,cacera bhai,phuphera bhai,mɔseri bahan,mɔsera bhai,mɔseri bahan,mɔsera bhai,mameri bahan,phuphera bhai,cacera bhai,mɔseri bahan,mɔseri bahan,phuphera bhai,phuphera bhai,phupheri bahan,cacera bhai,caceri bahan,phupheri bahan,mamera bhai,mamera bhai,choṭā bhāī,cacera bhai,phupheri bahan,mɔseri bahan,phupheri bahan,mameri bahan,caceri bahan,phuphera bhai,caceri bahan,cacera bhai,phuphera bhai,phuphera bhai,caceri bahan,bhāī,baṛa bhai,mamera bhai,choṭā bhāī,mamera bhai,mameri bahan,dīdī,mɔseri bahan,cacera bhai,phuphera bhai,choṭī bhan,mameri bahan,caceri bahan,phupheri bahan,mameri bahan,mameri bahan,baṛa bhai,phupheri bahan,mamera bhai,mɔseri bahan,caceri bahan,mɔsera bhai,mausī,buā,tāū,buā,māmā,māmā,mausī,bāp,cācā,buā,māmā,mausī,mātā,tāū,māmā,buā,mātā,mausī,tāū,buā,cācā,tāū,mausī,māmā,mausī,buā,bāp,māmā
542,0.4811040629381542,1.80985246856147,1.3287484056233159,mamera bhai,caceri bahan,phuphera bhai,cacera bhai,caceri bahan,mɔseri bahan,cacera bhai,phuphera bhai,baṛa bhai,mameri bahan,caceri bahan,mɔseri bahan,mamera bhai,mɔsera bhai,mameri bahan,bhāī,phupheri bahan,bhāī,mameri bahan,mɔseri bahan,phuphera bhai,choṭī bhan,caceri bahan,phuphera bhai,phupheri bahan,mamera bhai,cacera bhai,mamera bhai,mameri bahan,mameri bahan,cacera bhai,cacera bhai,caceri bahan,cacera bhai,bahan,phupheri bahan,choṭā bhāī,mameri bahan,mamera bhai,phupheri bahan,mɔseri bahan,phupheri bahan,bahan,mamera bhai,phuphera bhai,phupheri bahan,mɔsera bhai,cacera bhai,mamera bhai,caceri bahan,cacera bhai,mameri bahan,phupheri bahan,dīdī,phuphera bhai,cacera bhai,mɔsera bhai,mɔseri bahan,choṭā bhāī,phupheri bahan,phuphera bhai,mameri bahan,mɔsera bhai,cacera bhai,mamera bhai,caceri bahan,mamera bhai,mɔsera bhai,mameri bahan,phuphera bhai,mɔsera bhai,mɔsera bhai,mɔsera bhai,phupheri bahan,mɔsera bhai,mameri bahan,choṭī bhan,mɔseri bahan,phupheri bahan,mɔseri bahan,mamera bhai,phuphera bhai,mɔseri bahan,caceri bahan,baṛa bhai,mɔseri bahan,phuphera bhai,caceri bahan,dīdī,mɔseri bahan,mausī,mausī,tāū,mausī,cācā,buā,tāū,mātā,mausī,mātā,māmā,buā,mausī,māmā,māmā,cācā,tāū,bāp,buā,buā,buā,bāp,tāū,mausī,māmā,buā,māmā,māmā
543,0.41020113018961313,1.7734977554803828,1.3632966252907697,phupheri bahan,phuphera bhai,phuphera bhai,dīdī,phupheri bahan,cacera bhai,mameri bahan,mamera bhai,mɔsera bhai,cacera bhai,mɔsera bhai,mɔseri bahan,caceri bahan,mameri bahan,mamera bhai,mamera bhai,mɔsera bhai,phuphera bhai,caceri bahan,cacera bhai,phupheri bahan,bahan,cacera bhai,cacera bhai,mameri bahan,caceri bahan,mameri bahan,phupheri bahan,phuphera bhai,baṛa bhai,mɔseri bahan,cacera bhai,phupheri bahan,mamera bhai,mɔseri bahan,mameri bahan,mɔsera bhai,mameri bahan,mamera bhai,dīdī,mɔseri bahan,mɔsera bhai,mɔsera bhai,mɔseri bahan,bahan,phupheri bahan,mamera bhai,mɔsera bhai,cacera bhai,caceri bahan,mɔseri bahan,bhāī,phuphera bhai,caceri bahan,phupheri bahan,mamera bhai,mamera bhai,cacera bhai,phuphera bhai,phuphera bhai,mameri bahan,caceri bahan,choṭī bhan,choṭā bhāī,choṭī bhan,phupheri bahan,mɔsera bhai,cacera bhai,phupheri bahan,cacera bhai,caceri bahan,phuphera bhai,mameri bahan,mɔseri bahan,mɔseri bahan,bhāī,choṭā bhāī,mɔsera bhai,mɔseri bahan,baṛa bhai,phupheri bahan,caceri bahan,phuphera bhai,mɔseri bahan,phuphera bhai,mamera bhai,mamera bhai,mameri bahan,caceri bahan,mameri bahan,mausī,tāū,māmā,cācā,cācā,mātā,māmā,buā,buā,tāū,māmā,buā,bāp,buā,bāp,tāū,buā,mausī,māmā,buā,māmā,mātā,tāū,mausī,mausī,mausī,mausī,māmā
544,0.5480730847186286,1.8185428571350193,1.2704697724163907,bahan,caceri bahan,cacera bhai,choṭā bhāī,mɔseri bahan,phuphera bhai,phuphera bhai,mɔseri bahan,phupheri bahan,mamera bhai,mamera bhai,phupheri bahan,mɔseri bahan,phupheri bahan,phuphera bhai,mameri bahan,mɔsera bhai,mɔseri bahan,mɔseri bahan,mɔsera bhai,mɔsera bhai,mamera bhai,mameri bahan,cacera bhai,cacera bhai,caceri bahan,bhāī,phupheri bahan,baṛa bhai,mɔsera bhai,caceri bahan,mɔsera bhai,mameri bahan,cacera bhai,mɔseri bahan,mameri bahan,phuphera bhai,choṭī bhan,phuphera bhai,mameri bahan,phuphera bhai,caceri bahan,phupheri bahan,mameri bahan,mɔsera bhai,mameri bahan,phupheri bahan,phuphera bhai,mɔseri bahan,mamera bhai,caceri bahan,mɔseri bahan,mamera bhai,caceri bahan,cacera bhai,caceri bahan,bhāī,dīdī,phuphera bhai,mɔsera bhai,mɔsera bhai,caceri bahan,cacera bhai,mameri bahan,phupheri bahan,mamera bhai,mamera bhai,choṭī bhan,mɔseri bahan,phupheri bahan,mamera bhai,mɔseri bahan,mamera bhai,phuphera bhai,cacera bhai,dīdī,cacera bhai,phupheri bahan,cacera bhai,cacera bhai,baṛa bhai,caceri bahan,phupheri bahan,mameri bahan,mɔsera bhai,mamera bhai,mameri bahan,choṭā bhāī,phuphera bhai,bahan,tāū,buā,mausī,māmā,bāp,buā,buā,māmā,māmā,mausī,māmā,mausī,mausī,māmā,mausī,tāū,mātā,buā,mātā,mausī,tāū,buā,māmā,cācā,cācā,bāp,tāū,buā
545,0.40185527446332725,1.7749381077348014,1.3730828332714742,mameri bahan,mɔsera bhai,cacera bhai,cacera bhai,cacera bhai,cacera bhai,mameri bahan,mamera bhai,mamera bhai,mɔsera bhai,mɔseri bahan,caceri bahan,mɔseri bahan,phupheri bahan,mɔseri bahan,phupheri bahan,mamera bhai,mameri bahan,caceri bahan,mameri bahan,caceri bahan,mamera bhai,phupheri bahan,mɔseri bahan,mameri bahan,phuphera bhai,phupheri bahan,mamera bhai,phuphera bhai,caceri bahan,phupheri bahan,mɔseri bahan,bhāī,dīdī,mameri bahan,phuphera bhai,mameri bahan,cacera bhai,phuphera bhai,mɔseri bahan,cacera bhai,cacera bhai,mɔseri bahan,dīdī,baṛa bhai,mamera bhai,mamera bhai,cacera bhai,phuphera bhai,mɔsera bhai,mɔsera bhai,choṭā bhāī,phuphera bhai,phuphera bhai,phuphera bhai,mamera bhai,caceri bahan,mamera bhai,phupheri bahan,mɔseri bahan,baṛa bhai,choṭī bhan,phupheri bahan,cacera bhai,phupheri bahan,mɔseri bahan,mɔsera bhai,phuphera bhai,caceri bahan,mamera bhai,mɔsera bhai,mameri bahan,phupheri bahan,mameri bahan,mɔsera bhai,bahan,caceri bahan,cacera bhai,choṭī bhan,mɔsera bhai,caceri bahan,phuphera bhai,mameri bahan,choṭā bhāī,bahan,caceri bahan,phupheri bahan,bhāī,mɔsera bhai,mɔseri bahan,māmā,tāū,mausī,tāū,mausī,māmā,buā,cācā,buā,mausī,mātā,buā,bāp,māmā,māmā,mātā,mausī,mausī,bāp,mausī,buā,buā,tāū,tāū,buā,māmā,māmā,cācā
546,0.47579289167724426,1.79226027574866,1.3164673840714158,mameri bahan,cacera bhai,mɔseri bahan,cacera bhai,mɔseri bahan,cacera bhai,mɔseri bahan,caceri bahan,phupheri bahan,caceri bahan,mameri bahan,phuphera bhai,mamera bhai,mɔsera bhai,cacera bhai,mɔsera bhai,cacera bhai,caceri bahan,mamera bhai,mɔsera bhai,caceri bahan,caceri bahan,mamera bhai,mɔsera bhai,mameri bahan,dīdī,cacera bhai,choṭī bhan,baṛa bhai,phupheri bahan,mɔsera bhai,bhāī,mɔsera bhai,phupheri bahan,mameri bahan,phuphera bhai,mamera bhai,caceri bahan,mamera bhai,phuphera bhai,phupheri bahan,caceri bahan,phuphera bhai,mameri bahan,dīdī,mameri bahan,cacera bhai,phuphera bhai,mɔseri bahan,cacera bhai,phupheri bahan,mɔsera bhai,phuphera bhai,mɔseri bahan,mɔseri bahan,mɔseri bahan,phuphera bhai,choṭā bhāī,mɔseri bahan,mameri bahan,bahan,mamera bhai,mɔseri bahan,mamera bhai,mɔsera bhai,phuphera bhai,mɔseri bahan,caceri bahan,phuphera bhai,mamera bhai,cacera bhai,baṛa bhai,mameri bahan,phuphera bhai,caceri bahan,mamera bhai,bahan,mɔsera bhai,phupheri bahan,phupheri bahan,phupheri bahan,mamera bhai,phupheri bahan,choṭī bhan,choṭā bhāī,mameri bahan,phupheri bahan,cacera bhai,mameri bahan,bhāī,māmā,tāū,buā,buā,mausī,mausī,māmā,māmā,buā,tāū,mausī,mausī,buā,buā,māmā,mausī,bāp,māmā,mātā,cācā,tāū,tāū,buā,mausī,bāp,mātā,māmā,cācā
547,0.5214362626071609,1.8085528967800057,1.2871166341728448,phupheri bahan,phupheri bahan,cacera bhai,mɔseri bahan,phuphera bhai,cacera bhai,mameri bahan,phupheri bahan,caceri bahan,mɔsera bhai,mamera bhai,mɔsera bhai,cacera bhai,mɔsera bhai,phupheri bahan,phupheri bahan,dīdī,caceri bahan,mɔsera bhai,cacera bhai,phuphera bhai,phuphera bhai,mɔseri bahan,bahan,mamera bhai,mameri bahan,phupheri bahan,mɔsera bhai,mɔseri bahan,cacera bhai,caceri bahan,mameri bahan,bahan,caceri bahan,mamera bhai,mamera bhai,mamera bhai,mɔsera bhai,mɔseri bahan,choṭā bhāī,cacera bhai,mameri bahan,mɔseri bahan,caceri bahan,bhāī,mameri bahan,phupheri bahan,phuphera bhai,cacera bhai,mameri bahan,phupheri bahan,choṭī bhan,choṭā bhāī,bhāī,phuphera bhai,mameri bahan,cacera bhai,caceri bahan,mameri bahan,mɔseri bahan,cacera bhai,mamera bhai,mɔseri bahan,phuphera bhai,mamera bhai,caceri bahan,phupheri bahan,dīdī,baṛa bhai,mɔsera bhai,mɔseri bahan,phuphera bhai,mamera bhai,choṭī bhan,phupheri bahan,mɔsera bhai,caceri bahan,phuphera bhai,mɔsera bhai,mameri bahan,mameri bahan,phuphera bhai,mɔseri bahan,baṛa bhai,mamera bhai,mɔseri bahan,phuphera bhai,mamera bhai,caceri bahan,cacera bhai,mausī,buā,māmā,mausī,mātā,māmā,tāū,māmā,mausī,mātā,tāū,tāū,māmā,bāp,buā,buā,cācā,māmā,buā,cācā,bāp,mausī,buā,mausī,mausī,buā,māmā,tāū
548,0.5222927896687553,1.8068057474916166,1.2845129578228613,mamera bhai,cacera bhai,phuphera bhai,mamera bhai,caceri bahan,mɔseri bahan,caceri bahan,mɔsera bhai,bhāī,mameri bahan,caceri bahan,mameri bahan,caceri bahan,mɔseri bahan,mɔseri bahan,mɔsera bhai,mameri bahan,mamera bhai,mɔsera bhai,phupheri bahan,cacera bhai,mameri bahan,phupheri bahan,phuphera bhai,mɔsera bhai,phuphera bhai,phupheri bahan,caceri bahan,cacera bhai,phuphera bhai,phupheri bahan,phuphera bhai,mɔseri bahan,baṛa bhai,phuphera bhai,mamera bhai,mamera bhai,mamera bhai,phuphera bhai,bahan,cacera bhai,cacera bhai,mɔsera bhai,mamera bhai,mɔseri bahan,bhāī,phuphera bhai,mɔsera bhai,mɔseri bahan,choṭā bhāī,mameri bahan,mɔseri bahan,bahan,mɔsera bhai,choṭā bhāī,phupheri bahan,mameri bahan,phupheri bahan,mameri bahan,mamera bhai,baṛa bhai,caceri bahan,mameri bahan,mɔseri bahan,phupheri bahan,phuphera bhai,dīdī,mamera bhai,caceri bahan,phupheri bahan,caceri bahan,mameri bahan,cacera bhai,mameri bahan,cacera bhai,mamera bhai,phupheri bahan,cacera bhai,cacera bhai,choṭī bhan,mɔseri bahan,cacera bhai,phupheri bahan,caceri bahan,dīdī,phuphera bhai,choṭī bhan,mɔseri bahan,mɔsera bhai,mɔsera bhai,mausī,māmā,tāū,mātā,mausī,mausī,māmā,tāū,māmā,bāp,cācā,māmā,bāp,māmā,buā,mātā,buā,mausī,tāū,buā,tāū,mausī,buā,mausī,māmā,buā,buā,cācā
549,0.5232910230514125,1.745045855904271,1.2217548328528585,mameri bahan,cacera bhai,phupheri bahan,mɔsera bhai,caceri bahan,phupheri bahan,cacera bhai,mameri bahan,phupheri bahan,mɔseri bahan,phuphera bhai,mɔsera bhai,mameri bahan,mameri bahan,mameri bahan,caceri bahan,mamera bhai,choṭī bhan,mɔsera bhai,phupheri bahan,mɔsera bhai,baṛa bhai,caceri bahan,caceri bahan,cacera bhai,mamera bhai,mɔsera bhai,caceri bahan,mameri bahan,cacera bhai,mamera bhai,phuphera bhai,caceri bahan,mameri bahan,caceri bahan,choṭā bhāī,mɔsera bhai,mɔseri bahan,phuphera bhai,mɔsera bhai,mamera bhai,mɔseri bahan,bhāī,cacera bhai,phuphera bhai,mɔseri bahan,phupheri bahan,mameri bahan,mɔseri bahan,dīdī,phupheri bahan,mɔsera bhai,phuphera bhai,phupheri bahan,mameri bahan,phuphera bhai,bahan,mɔseri bahan,mameri bahan,cacera bhai,phupheri bahan,mamera bhai,mamera bhai,mamera bhai,phupheri bahan,phuphera bhai,phuphera bhai,cacera bhai,caceri bahan,phupheri bahan,baṛa bhai,bahan,mɔseri bahan,mɔseri bahan,mamera bhai,mamera bhai,mamera bhai,caceri bahan,cacera bhai,choṭā bhāī,phuphera bhai,phuphera bhai,bhāī,mɔseri bahan,mɔsera bhai,mɔseri bahan,choṭī bhan,cacera bhai,cacera bhai,dīdī,māmā,buā,mausī,buā,māmā,māmā,tāū,cācā,māmā,mausī,buā,mausī,tāū,mausī,bāp,tāū,mātā,buā,māmā,māmā,cācā,mātā,mausī,buā,mausī,buā,bāp,tāū
550,0.4795449838981063,1.8429812085540602,1.363436224655954,mamera bhai,phuphera bhai,mɔseri bahan,mɔsera bhai,dīdī,bhāī,mɔsera bhai,caceri bahan,mamera bhai,mɔseri bahan,phuphera bhai,cacera bhai,cacera bhai,cacera bhai,mamera bhai,phuphera bhai,mameri bahan,phupheri bahan,caceri bahan,mamera bhai,phupheri bahan,mameri bahan,phuphera bhai,mɔseri bahan,mɔsera bhai,choṭā bhāī,baṛa bhai,mɔsera bhai,cacera bhai,bahan,mameri bahan,phupheri bahan,mɔseri bahan,mamera bhai,phuphera bhai,caceri bahan,caceri bahan,mɔsera bhai,phupheri bahan,phuphera bhai,cacera bhai,choṭī bhan,mɔseri bahan,mameri bahan,phupheri bahan,bhāī,mameri bahan,phupheri bahan,mɔsera bhai,mɔsera bhai,phupheri bahan,mamera bhai,caceri bahan,phuphera bhai,baṛa bhai,mamera bhai,caceri bahan,cacera bhai,caceri bahan,mameri bahan,phupheri bahan,choṭā bhāī,choṭī bhan,caceri bahan,phuphera bhai,dīdī,cacera bhai,mameri bahan,phupheri bahan,mɔsera bhai,mɔseri bahan,mameri bahan,caceri bahan,phuphera bhai,mɔseri bahan,cacera bhai,mameri bahan,mɔseri bahan,mameri bahan,bahan,mamera bhai,mɔseri bahan,mamera bhai,mɔsera bhai,cacera bhai,mɔseri bahan,mamera bhai,cacera bhai,phupheri bahan,phuphera bhai,mausī,mātā,buā,māmā,bāp,tāū,tāū,buā,mausī,mausī,buā,tāū,buā,buā,māmā,mausī,mātā,buā,cācā,māmā,māmā,tāū,māmā,cācā,mausī,māmā,bāp,mausī
551,0.5420212431587919,1.8131675136563323,1.2711462704975405,mamera bhai,mamera bhai,mameri bahan,phuphera bhai,mɔsera bhai,mɔseri bahan,phuphera bhai,phupheri bahan,phupheri bahan,caceri bahan,mɔsera bhai,baṛa bhai,mɔsera bhai,mamera bhai,caceri bahan,phupheri bahan,caceri bahan,phupheri bahan,phuphera bhai,choṭī bhan,caceri bahan,mɔseri bahan,bhāī,mɔsera bhai,choṭā bhāī,phupheri bahan,mɔsera bhai,caceri bahan,dīdī,cacera bhai,mɔsera bhai,mameri bahan,cacera bhai,mameri bahan,phupheri bahan,mɔseri bahan,phupheri bahan,mɔseri bahan,phuphera bhai,mamera bhai,bahan,mameri bahan,mameri bahan,cacera bhai,caceri bahan,mɔsera bhai,mɔseri bahan,cacera bhai,mɔseri bahan,mamera bhai,mɔseri bahan,mameri bahan,cacera bhai,cacera bhai,caceri bahan,mamera bhai,mɔseri bahan,cacera bhai,phuphera bhai,mamera bhai,phupheri bahan,caceri bahan,caceri bahan,mameri bahan,mameri bahan,mɔseri bahan,cacera bhai,choṭī bhan,mɔsera bhai,mɔseri bahan,cacera bhai,mɔsera bhai,mamera bhai,phuphera bhai,mameri bahan,dīdī,phuphera bhai,mamera bhai,bhāī,phuphera bhai,baṛa bhai,phupheri bahan,phuphera bhai,phupheri bahan,choṭā bhāī,phuphera bhai,mamera bhai,mameri bahan,bahan,cacera bhai,mausī,bāp,mātā,buā,māmā,mātā,mausī,buā,tāū,mausī,māmā,tāū,tāū,tāū,buā,mausī,māmā,māmā,cācā,cācā,māmā,māmā,buā,buā,mausī,bāp,mausī,buā
552,0.4540724887111476,1.8297552274812894,1.3756827387701418,mamera bhai,phuphera bhai,phuphera bhai,mɔsera bhai,phuphera bhai,bhāī,phupheri bahan,mɔsera bhai,mamera bhai,caceri bahan,phuphera bhai,mamera bhai,caceri bahan,mɔsera bhai,bhāī,phupheri bahan,phupheri bahan,mameri bahan,mɔsera bhai,phupheri bahan,mɔseri bahan,cacera bhai,mɔsera bhai,mɔseri bahan,phuphera bhai,bahan,cacera bhai,caceri bahan,cacera bhai,choṭā bhāī,caceri bahan,mameri bahan,phuphera bhai,phuphera bhai,phupheri bahan,phuphera bhai,cacera bhai,baṛa bhai,mɔseri bahan,cacera bhai,mɔseri bahan,baṛa bhai,dīdī,phupheri bahan,caceri bahan,mamera bhai,mɔseri bahan,phupheri bahan,choṭā bhāī,mɔseri bahan,mɔseri bahan,caceri bahan,choṭī bhan,bahan,cacera bhai,mamera bhai,choṭī bhan,mameri bahan,phupheri bahan,phuphera bhai,mamera bhai,phupheri bahan,phupheri bahan,mamera bhai,mameri bahan,mɔsera bhai,dīdī,caceri bahan,cacera bhai,mameri bahan,mɔseri bahan,phuphera bhai,mamera bhai,caceri bahan,cacera bhai,mɔsera bhai,cacera bhai,mamera bhai,mɔsera bhai,mameri bahan,cacera bhai,mɔseri bahan,mameri bahan,mameri bahan,mamera bhai,mameri bahan,caceri bahan,mɔsera bhai,mɔseri bahan,mameri bahan,buā,bāp,mausī,mausī,mausī,māmā,buā,māmā,māmā,cācā,cācā,mausī,tāū,buā,buā,mausī,māmā,māmā,māmā,mausī,bāp,tāū,buā,mātā,mātā,tāū,buā,tāū
